Normalized MuB	Sample Name	tissue
5.8851	P4413.plasma_1a	plasma
3.8593	P4676.plasma_1a	plasma
3.8341	P4329.plasma_1a	plasma
10.2113	P4362.plasma_1a	plasma
7.7827	P5351.plasma_1a	plasma
2.0466	P4352.plasma_1a	plasma
17.9068	P4249.plasma_1a	plasma
13.6199	P5333.plasma_1a	plasma
11.7298	P4569.plasma_1a	plasma
3.88	P4726.plasma_1a	plasma
19.1392	P5303.plasma_1a	plasma
9.6022	P4598.plasma_1a	plasma
5.8562	P4199.plasma_1a	plasma
1.9773	P5048.plasma_1a	plasma
5.917	P4573.plasma_1a	plasma
13.5971	P4404.plasma_1a	plasma
7.7152	P5239.plasma_1a	plasma
1.9073	P5117.plasma_1a	plasma
5.7874	P4677.plasma_1a	plasma
5.7135	P2639.plasma_2a	plasma
5.8112	P5153.plasma_1a	plasma
13.7693	P4450.plasma_1a	plasma
